
Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,80,15806,3027,2349,180,2015,4,10764,57808,1832,17887
D:\work\featuremining\workspace\argouml\argouml-core-model\src,80,15806,3027,2349,180,2015,4,10764,57808,1832,17887
D:\work\featuremining\workspace\argouml\argouml-core-model\src\org,80,15806,3027,2349,180,2015,4,10764,57808,1832,17887
D:\work\featuremining\workspace\argouml\argouml-core-model\src\org\argouml,80,15806,3027,2349,180,2015,4,10764,57808,1832,17887
D:\work\featuremining\workspace\argouml\argouml-core-model\src\org\argouml\model,79,15806,3027,2349,180,2015,4,10764,57808,1832,17887
