
Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\diagram,308,66748,32561,21970,4588,7253,180,26934,152102,7335,69815
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\diagram\activity,18,4050,2187,1460,268,428,13,1435,7427,423,3890
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\diagram\activity\layout,1,190,75,54,11,21,0,94,543,25,229
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\diagram\activity\ui,15,3800,2097,1395,252,401,13,1302,6616,373,3432
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\diagram\collaboration,11,2246,1137,758,181,238,10,871,4567,250,2290
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\diagram\collaboration\ui,9,1828,903,601,112,206,6,719,4014,225,2061
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\diagram\deployment,20,3656,2085,1300,328,383,3,1188,6489,475,4351
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\diagram\deployment\ui,18,3179,1764,1092,223,352,2,1063,6072,450,4122
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\diagram\layout,6,452,108,75,22,57,0,287,1988,138,1356
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\diagram\sequence,27,5188,2802,1927,474,497,4,1889,9943,650,5954
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\diagram\sequence\ui,24,4423,2373,1659,348,413,4,1637,8952,600,5496
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\diagram\state,35,7942,4115,2670,535,905,36,2922,14504,860,7816
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\diagram\state\ui,31,7247,3796,2459,433,832,31,2619,13231,784,7126
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\diagram\static_structure,48,10835,5266,3524,766,1219,26,4350,24331,1081,10622
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\diagram\static_structure\layout,10,1935,751,533,117,192,1,992,5266,230,2260
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\diagram\static_structure\ui,36,8174,4090,2719,524,965,24,3119,18106,828,8136
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\diagram\ui,115,24024,11165,7692,1441,2593,81,10266,61507,2673,26038
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\diagram\use_case,14,4091,1864,1250,272,486,5,1741,10123,325,2977
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\diagram\use_case\ui,12,3479,1612,1084,192,410,4,1457,8561,300,2748
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\generator,9,1887,972,692,167,180,8,735,4164,184,1808
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\generator\ui,1,715,466,323,87,78,7,171,746,23,226
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\reveng,17,4135,1940,1423,222,555,7,1640,9197,368,3618
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\reveng\ui,3,600,347,288,18,90,2,163,1013,69,679
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\ui,470,53584,23083,16104,2706,6628,68,23873,149656,10898,106167
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\ui\behavior,204,18565,7273,5063,701,2526,15,8766,57020,4754,46001
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\ui\behavior\activity_graphs,16,2302,1106,753,153,319,3,877,5170,368,3616
D:\work\featuremining\workspace\argouml\argouml-app\src\org\argouml\uml\ui\behavior\collaborations,34,2932,1173,752,137,365,1,1394,9132,787,7689
