
Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,42,11753,7634,4968,1379,1837,269,2282,15138,1036,9412
D:\work\featuremining\workspace\argouml\argouml-core-model-euml\src,42,11753,7634,4968,1379,1837,269,2282,15138,1036,9412
D:\work\featuremining\workspace\argouml\argouml-core-model-euml\src\org,42,11753,7634,4968,1379,1837,269,2282,15138,1036,9412
D:\work\featuremining\workspace\argouml\argouml-core-model-euml\src\org\argouml,42,11753,7634,4968,1379,1837,269,2282,15138,1036,9412
D:\work\featuremining\workspace\argouml\argouml-core-model-euml\src\org\argouml\model,42,11753,7634,4968,1379,1837,269,2282,15138,1036,9412
D:\work\featuremining\workspace\argouml\argouml-core-model-euml\src\org\argouml\model\euml,41,11753,7634,4968,1379,1837,269,2282,15138,1036,9412
