
Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,45,26058,17699,11990,3772,3176,22,5183,27417,1012,9944
D:\work\featuremining\workspace\argouml\argouml-core-model-mdr\src,45,26058,17699,11990,3772,3176,22,5183,27417,1012,9944
D:\work\featuremining\workspace\argouml\argouml-core-model-mdr\src\org,45,26058,17699,11990,3772,3176,22,5183,27417,1012,9944
D:\work\featuremining\workspace\argouml\argouml-core-model-mdr\src\org\argouml,45,26058,17699,11990,3772,3176,22,5183,27417,1012,9944
D:\work\featuremining\workspace\argouml\argouml-core-model-mdr\src\org\argouml\model,45,26058,17699,11990,3772,3176,22,5183,27417,1012,9944
D:\work\featuremining\workspace\argouml\argouml-core-model-mdr\src\org\argouml\model\mdr,44,26058,17699,11990,3772,3176,22,5183,27417,1012,9944
